ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,REGION,AREA,CITY,COUNTRY,POSTAL_CODE,CUSTOMER_NUMBER,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY,CONTRIBUTION_MARGIN,CONTRIBUTION_MARGIN_PCT
.1~23,23,AA,01,01,01/01,/Date(1704067200000)/,1,1,1,2,02,Hessen,South,WIESBADEN,Germany,65183,80140,12,AA-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,416,416,ST,5.26,2188.16,944.32,EUR,1243.84000,0.57
.1~1902,1902,ZZ,03,19,03/19,/Date(1709078400000)/,12,59,541,3,02,Hessen,South,WIESBADEN,Germany,65183,80140,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,127,127,ST,5.26,668.02,288.29,EUR,379.73000,0.57
.1~1874,1874,ZZ,03,18,03/18,/Date(1708992000000)/,12,58,533,1,02,Hessen,South,FRANKFURT/MAIN,Germany,60386,80136,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,353,353,ST,5.26,1856.78,801.31,EUR,1055.47000,0.57
.1~1873,1873,ZZ,03,18,03/18,/Date(1708992000000)/,12,58,532,1,02,Baden-Wurttemberg,South,KORNTAL,Germany,70825,80116,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,413,413,ST,5.26,2172.38,937.51,EUR,1234.87000,0.57
.1~1846,1846,ZZ,03,17,03/17,/Date(1708905600000)/,12,57,523,3,02,Bavaria,South,WÜRZBURG,Germany,97070,80128,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,410,410,ST,5.26,2156.60,930.70,EUR,1225.90000,0.57
.1~1845,1845,ZZ,03,17,03/17,/Date(1708905600000)/,12,57,524,1,02,Baden-Wurttemberg,South,STUTTGART,Germany,70173,80118,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,374,374,ST,5.26,1967.24,848.98,EUR,1118.26000,0.57
.1~1844,1844,ZZ,03,17,03/17,/Date(1708905600000)/,12,57,525,3,02,Mecklenburg-Vorpomm.,North,ROSTOCK,Germany,18184,80141,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,399,399,ST,5.26,2098.74,905.73,EUR,1193.01000,0.57
.1~1818,1818,ZZ,03,16,03/16,/Date(1708819200000)/,12,56,515,4,02,Baden-Wurttemberg,South,ALBSTADT,Germany,72458,80170,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,399,399,ST,5.26,2098.74,905.73,EUR,1193.01000,0.57
.1~1817,1817,ZZ,03,16,03/16,/Date(1708819200000)/,12,56,514,2,02,Bavaria,South,REGENSBURG,Germany,93053,80127,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,433,433,ST,5.26,2277.58,982.91,EUR,1294.67000,0.57
.1~1816,1816,ZZ,03,16,03/16,/Date(1708819200000)/,12,56,516,2,02,Berlin,North,BERLIN,Germany,13349,80129,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,358,358,ST,5.26,1883.08,812.66,EUR,1070.42000,0.57
.1~1815,1815,ZZ,03,16,03/16,/Date(1708819200000)/,12,56,520,3,02,Nrth Rhine Westfalia,West,PADERBORN,Germany,33100,80159,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,434,434,ST,5.26,2282.84,985.18,EUR,1297.66000,0.57
.1~1796,1796,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,504,2,02,Baden-Wurttemberg,South,ESSLINGEN,Germany,73730,80112,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,393,393,ST,5.26,2067.18,892.11,EUR,1175.07000,0.57
.1~1795,1795,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,511,2,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,412,412,ST,5.26,2167.12,935.24,EUR,1231.88000,0.57
.1~1794,1794,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,511,1,02,Nrth Rhine Westfalia,West,GELSENKIRCHEN,Germany,45879,80154,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,411,411,ST,5.26,2161.86,932.97,EUR,1228.89000,0.57
.1~1793,1793,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,505,2,02,Bavaria,South,MÜNCHEN,Germany,80804,80122,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,426,426,ST,5.26,2240.76,967.02,EUR,1273.74000,0.57
.1~1792,1792,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,505,3,02,Bavaria,South,MÜNCHEN,Germany,80804,80122,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,355,355,ST,5.26,1867.30,805.85,EUR,1061.45000,0.57
.1~1791,1791,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,510,1,02,Nrth Rhine Westfalia,West,KREFELD,Germany,47798,80157,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,450,450,ST,5.26,2367.00,1021.50,EUR,1345.50000,0.57
.1~1790,1790,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,504,4,02,Baden-Wurttemberg,South,ESSLINGEN,Germany,73730,80112,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,368,368,ST,5.26,1935.68,835.36,EUR,1100.32000,0.57
.1~1789,1789,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,506,3,02,Baden-Wurttemberg,South,KORNTAL,Germany,70825,80116,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,448,448,ST,5.26,2356.48,1016.96,EUR,1339.52000,0.57
.1~1788,1788,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,512,3,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,355,355,ST,5.26,1867.30,805.85,EUR,1061.45000,0.57
.1~1787,1787,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,507,4,02,Schleswig-Holstein,North,KIEL,Germany,24113,80168,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,355,355,ST,5.26,1867.30,805.85,EUR,1061.45000,0.57
.1~1786,1786,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,512,2,02,Nrth Rhine Westfalia,West,WÜRSELEN,Germany,52146,80162,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,419,419,ST,5.26,2203.94,951.13,EUR,1252.81000,0.57
.1~1785,1785,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,507,2,02,Schleswig-Holstein,North,KIEL,Germany,24113,80168,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,391,391,ST,5.26,2056.66,887.57,EUR,1169.09000,0.57
.1~1784,1784,ZZ,03,15,03/15,/Date(1708732800000)/,11,55,508,3,02,Lower Saxony,North,OLDENBURG,Germany,26129,80144,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,385,385,ST,5.26,2025.10,873.95,EUR,1151.15000,0.57
.1~1764,1764,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,500,2,02,Lower Saxony,North,OLDENBURG,Germany,26129,80144,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,438,438,ST,5.26,2303.88,994.26,EUR,1309.62000,0.57
.1~1763,1763,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,503,3,02,Rhineland Palatinate,West,TRIER,Germany,54290,80164,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,382,382,ST,5.26,2009.32,867.14,EUR,1142.18000,0.57
.1~1762,1762,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,496,1,02,Bavaria,South,REGENSBURG,Germany,93053,80127,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,394,394,ST,5.26,2072.44,894.38,EUR,1178.06000,0.57
.1~1761,1761,ZZ,03,14,03/14,/Date(1708646400000)/,11,54,496,3,02,Bavaria,South,REGENSBURG,Germany,93053,80127,12,ZZ-F12,1kg Blueberry Muesli,Finished Product,F12,1kg,Blueberry Muesli,408,408,ST,5.26,2146.08,926.16,EUR,1219.92000,0.57
